epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.8816,1.27493,4.04081,1.3084,0.00675,0.2503,0.00574,0.00221,1.06276,3.80884,1.08413,3.333e-05,3.333e-05,3.333e-05
2,7.18368,1.24287,3.99539,1.29058,0.00985,0.34047,0.01655,0.0074,0.94586,3.72827,1.01076,7.68076e-05,7.68076e-05,7.68076e-05
3,9.57669,1.05456,3.6319,1.13823,0.01288,0.54101,0.0745,0.04598,0.92087,3.60752,0.96192,0.000119185,0.000119185,0.000119185
4,13.0858,1.07212,3.10529,1.08644,0.01536,0.66268,0.14823,0.10502,0.90189,3.40974,0.93728,0.000160463,0.000160463,0.000160463
5,16.236,1.04546,2.47389,1.06208,1,0.04882,0.24485,0.1765,0.93145,3.12427,0.93285,0.000200641,0.000200641,0.000200641
6,18.5994,0.95652,1.89007,1.03536,0.81349,0.27335,0.3666,0.28594,0.84117,3.10345,0.92447,0.000239719,0.000239719,0.000239719
7,21.0774,0.90649,1.54871,1.03437,0.82462,0.33498,0.39714,0.29757,0.85174,3.01826,0.94729,0.000277697,0.000277697,0.000277697
8,23.4718,0.82567,1.31079,1.00127,0.99058,0.18865,0.46911,0.34885,0.87752,2.79339,0.95648,0.000314575,0.000314575,0.000314575
9,27.6556,0.82257,1.17329,1.00002,0.95642,0.21498,0.49527,0.35795,0.91788,2.83,0.99067,0.000350354,0.000350354,0.000350354
10,31.0981,0.79174,1.04167,0.99537,0.92876,0.24617,0.55273,0.41385,0.85145,2.65196,0.94327,0.000385032,0.000385032,0.000385032
11,33.3766,0.78636,0.98658,0.97329,0.92605,0.29222,0.60181,0.4799,0.74358,2.51365,0.89907,0.000418611,0.000418611,0.000418611
12,35.8348,0.75962,0.91161,0.96585,0.92818,0.27508,0.61859,0.47818,0.77151,2.51892,0.90658,0.00045109,0.00045109,0.00045109
13,38.4868,0.71392,0.86442,0.96765,0.91722,0.33983,0.60012,0.47276,0.76757,2.45952,0.93133,0.000482468,0.000482468,0.000482468
14,41.5743,0.68153,0.82953,0.95378,0.92258,0.38106,0.60846,0.49631,0.72348,2.45783,0.91997,0.000512747,0.000512747,0.000512747
15,45.0207,0.70571,0.80258,0.94316,0.9574,0.32754,0.68165,0.55776,0.747,2.39068,0.90901,0.000541926,0.000541926,0.000541926
16,47.7889,0.69653,0.7981,0.95067,0.97522,0.33993,0.66479,0.52761,0.7607,2.55264,0.93933,0.000570005,0.000570005,0.000570005
17,50.1287,0.66818,0.76674,0.93752,0.98379,0.41698,0.70705,0.56354,0.71623,2.42202,0.91278,0.000596985,0.000596985,0.000596985
18,52.4986,0.67934,0.74843,0.94533,0.96504,0.53133,0.80363,0.62552,0.69586,2.08736,0.89261,0.000622864,0.000622864,0.000622864
19,55.1668,0.70304,0.73966,0.94531,0.93098,0.58743,0.77574,0.62638,0.69505,1.87155,0.89269,0.000647644,0.000647644,0.000647644
20,58.3726,0.6696,0.7042,0.92504,0.9507,0.63809,0.82966,0.67613,0.65435,1.79397,0.88334,0.000671323,0.000671323,0.000671323
21,61.4223,0.65755,0.68445,0.92989,0.96453,0.63051,0.72585,0.59101,0.68749,1.9093,0.89467,0.000693903,0.000693903,0.000693903
22,63.8241,0.61777,0.66619,0.9209,0.97224,0.5399,0.70712,0.56102,0.71274,1.96751,0.90721,0.000715383,0.000715383,0.000715383
23,66.1033,0.62304,0.67258,0.92179,0.97063,0.58738,0.70744,0.52468,0.77273,1.9737,0.95894,0.000735763,0.000735763,0.000735763
24,68.4546,0.63747,0.65272,0.92273,0.98173,0.62234,0.73662,0.58694,0.71069,1.75222,0.91393,0.000755043,0.000755043,0.000755043
